Source_Titles,records,percent_of_total
CARDIOVASCULAR DISEASE DIET NUTRITION AND EMERGING RISK FACTORS 2ND EDITION,1,0.003
CARDIOVASCULAR ENDOCRINOLOGY BOOK,1,0.003
CARDIOVASCULAR ENDOCRINOLOGY METABOLISM,1,0.003
CARDIOVASCULAR GENETICS AND GENOMICS FOR THE CARDIOLOGIST,1,0.003
CARDIOVASCULAR MEDICINE LONDON,1,0.003
CAROTENOIDS IN NATURE BIOSYNTHESIS REGULATION AND FUNCTION,1,0.003
CAROTENOIDS PHYSICAL CHEMICAL AND BIOLOGICAL FUNCTIONS AND PROPERTIES,1,0.003
CARPATHIAN JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,1,0.003
CASE STUDIES ON TRANSPORT POLICY,1,0.003
CASPIAN JOURNAL OF INTERNAL MEDICINE,1,0.003
CELL BIOCHEMISTRY AND FUNCTION,1,0.003
CELL BIOLOGY AND TOXICOLOGY,1,0.003
CELL CALCIUM,1,0.003
CELL STEM CELL,1,0.003
CELLS AND SURVEYS SHOULD BIOLOGICAL MEASURES BE INCLUDED IN SOCIAL SCIENCE RESEARCH,1,0.003
CELLULAR AND MOLECULAR BIOLOGY,1,0.003
CELLULAR AND MOLECULAR NEUROBIOLOGY,1,0.003
CENTRAL EUROPEAN JOURNAL OF BIOLOGY,1,0.003
CEREALS AND PULSES NUTRACEUTICAL PROPERTIES AND HEALTH BENEFITS,1,0.003
CESKA GYNEKOLOGIE CZECH GYNAECOLOGY,1,0.003
CESKOSLOVENSKA PSYCHOLOGIE,1,0.003
CGAMES 2006 PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON COMPUTER GAMES ARTIFICIAL INTELLIGENCE AND MOBILE SYSTEMS,1,0.003
CHALLENGES IN ACUTE GERIATRIC CARE,1,0.003
CHEMICAL AND FUNCTIONAL PROPERTIES OF FOOD COMPONENTS SERIES,1,0.003
CHEMICAL BIOLOGICAL AND FUNCTIONAL ASPECTS OF FOOD LIPIDS 2ND EDITION,1,0.003
CHEMICAL ENGINEERING METHODS AND TECHNOLOGY,1,0.003
CHEMICAL SENSES,1,0.003
CHEMISTRY AND ECOLOGY,1,0.003
CHEMISTRY BIODIVERSITY,1,0.003
CHEMISTRY CENTRAL JOURNAL,1,0.003
CHI 2015 PROCEEDINGS OF THE 33RD ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,1,0.003
CHI 2019 PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,1,0.003
CHILD INDICATORS RESEARCH,1,0.003
CHILD MALTREATMENT,1,0.003
CHILD MALTREATMENT SOLUTIONS NETWORK,1,0.003
CHILD NEUROPSYCHOLOGY,1,0.003
CHILD YOUTH CARE FORUM,1,0.003
CHILDS NERVOUS SYSTEM,1,0.003
CHINA AGRICULTURAL ECONOMIC REVIEW,1,0.003
CHINESE JOURNAL OF CHROMATOGRAPHY,1,0.003
CHINESE JOURNAL OF INTEGRATIVE MEDICINE,1,0.003
CHINESE JOURNAL OF PHYSIOLOGY,1,0.003
CHINESE SCIENCE BULLETIN CHINESE,1,0.003
CHINESE SOCIOLOGICAL REVIEW,1,0.003
CHIRURGIA ITALY,1,0.003
CHOCOLATE FAST FOODS AND SWEETENERS CONSUMPTION AND HEALTH,1,0.003
CHOOSING SEXES MECHANISMS AND ADAPTIVE PATTERNS OF SEX ALLOCATION IN VERTEBRATES,1,0.003
CHROMATOGRAPHY TYPES TECHNIQUES AND METHODS,1,0.003
CHRONIC KIDNEY DISEASE IN DISADVANTAGED POPULATIONS,1,0.003
CHRONIC PAIN A PRIMARY CARE GUIDE TO PRACTICAL MANAGEMENT SECOND EDITION,1,0.003
CHRONIC RESPIRATORY DISEASE,1,0.003
CIBA FOUNDATION SYMPOSIA,1,0.003
CIENCIA E TECNICA VITIVINICOLA,1,0.003
CIRCADIAN RHYTHMS AND BIOLOGICAL CLOCKS PT B,1,0.003
CITIES AND AGRICULTURE DEVELOPING RESILIENT URBAN FOOD SYSTEMS,1,0.003
CITY COMMUNITY,1,0.003
CITY IN THE TWENTY FIRST CENTURY,1,0.003
CITYSCAPE,1,0.003
CLAREMONT SYMPOSIUM ON APPLIED SOCIAL PSYCHOLOGY SERIES,1,0.003
CLINICAL AND EXPERIMENTAL DERMATOLOGY,1,0.003
CLINICAL AND EXPERIMENTAL HEPATOLOGY,1,0.003
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,1,0.003
CLINICAL AND EXPERIMENTAL OTORHINOLARYNGOLOGY,1,0.003
CLINICAL AND MOLECULAR HEPATOLOGY,1,0.003
CLINICAL AND TRANSLATIONAL IMAGING,1,0.003
CLINICAL APPROACH TO SUDDEN CARDIAC DEATH SYNDROMES,1,0.003
CLINICAL BIOMECHANICS,1,0.003
CLINICAL CARDIOGENETICS,1,0.003
CLINICAL DIABETOLOGY,1,0.003
CLINICAL EPIDEMIOLOGY AND GLOBAL HEALTH,1,0.003
CLINICAL EPIGENETICS,1,0.003
CLINICAL GENITOURINARY CANCER,1,0.003
CLINICAL IMAGING,1,0.003
CLINICAL IMMUNOLOGY,1,0.003
CLINICAL LUNG CANCER,1,0.003
CLINICAL LYMPHOMA MYELOMA LEUKEMIA,1,0.003
CLINICAL MEDICINE INSIGHTS ENDOCRINOLOGY AND DIABETES,1,0.003
CLINICAL NEUROENDOCRINOLOGY,1,0.003
CLINICAL NEUROLOGY AND NEUROSURGERY,1,0.003
CLINICAL NEUROPSYCHOLOGIST,1,0.003
CLINICAL NUTRITION THE INTERFACE BETWEEN METABOLISM DIET AND DISEASE,1,0.003
CLINICAL PHARMACOKINETICS,1,0.003
CLINICAL PHYSIOLOGY,1,0.003
CLINICAL PSYCHOLOGY AND SPECIAL EDUCATION,1,0.003
CLINICAL RESEARCH AND PRACTICE,1,0.003
CLINICAL TRANSLATIONAL ONCOLOGY,1,0.003
CLINICIAN S PEARLS AND MYTHS IN RHEUMATOLOGY,1,0.003
CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,1,0.003
CLINICS IN PERINATOLOGY,1,0.003
CNS SPECTRUMS,1,0.003
COGNITIVE AFFECTIVE BEHAVIORAL NEUROSCIENCE,1,0.003
COGNITIVE AND BEHAVIORAL NEUROLOGY,1,0.003
COGNITIVE BRAIN RESEARCH,1,0.003
COGNITIVE NEUROPSYCHOLOGY,1,0.003
COLD SPRING HARBOR MOLECULAR CASE STUDIES,1,0.003
COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY,1,0.003
COLLOQUIUM OF ADVANCED MECHANICS CAMS2016,1,0.003
COLOMBIA MEDICA,1,0.003
COLOR STRUCK HOW RACE AND COMPLEXION MATTER IN THE COLOR BLIND ERA,1,0.003
COLORECTAL DISEASE,1,0.003
COMMUNICATIONS BIOLOGY,1,0.003
COMMUNICATIONS IN STATISTICS THEORY AND METHODS,1,0.003
COMMUNITIES NEIGHBORHOODS AND HEALTH EXPANDING THE BOUNDARIES OF PLACE,1,0.003
COMORBIDITY OF MENTAL AND PHYSICAL DISORDERS,1,0.003
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A MOLECULAR INTEGRATIVE PHYSIOLOGY,1,0.003
COMPARATIVE MEDICINE,1,0.003
COMPLEMENTARY AND ALTERNATIVE THERAPIES IN THE AGING POPULATION AN EVIDENCE BASED APPROACH,1,0.003
COMPLEXITY,1,0.003
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1,0.003
COMPREHENSIVE TOXICOLOGY VOL 4 BIOTRANSFORMATION 2ND EDITION,1,0.003
COMPREHENSIVE TOXICOLOGY VOL 6 CARDIOVASCULAR TOXICOLOGY 2ND EDITION,1,0.003
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,1,0.003
COMPUTERS AND BIOMEDICAL RESEARCH,1,0.003
COMPUTERS EDUCATION,1,0.003
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,1,0.003
COMPUTERS IN BIOLOGY AND MEDICINE,1,0.003
COMPUTING IN SCIENCE ENGINEERING,1,0.003
CONNECTIVE TISSUE RESEARCH,1,0.003
CONTEMPORARY FOOD ENGINEERING,1,0.003
CONTEMPORARY NURSE,1,0.003
CONTEMPORARY PERSPECTIVES IN RACE AND ETHNIC RELATIONS,1,0.003
CONTEMPORARY PUBLIC HEALTH PRINCIPLES PRACTICE AND POLICY,1,0.003
CONTROVERSIES IN TREATING DIABETES CLINICAL AND RESEARCH ASPECTS,1,0.003
COR ET VASA,1,0.003
CORNELL LAW REVIEW,1,0.003
CORONARY ARTERY DISEASE 2013,1,0.003
CORTEX,1,0.003
COVERT RACISM THEORIES INSTITUTIONS AND EXPERIENCES,1,0.003
CRIMINOLOGY AND JUSTICE STUDIES,1,0.003
CRISES AFTER THE CRISIS INQUIRIES FROM A NATIONAL EUROPEAN AND GLOBAL PERSPECTIVE VOL II,1,0.003
CRITICAL CARE,1,0.003
CRITICAL FOOD STUDIES,1,0.003
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1,0.003
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1,0.003
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1,0.003
CRITICAL REVIEWS IN IMMUNOLOGY,1,0.003
CRITICAL REVIEWS IN MICROBIOLOGY,1,0.003
CRITICAL REVIEWS IN TOXICOLOGY,1,0.003
CRITICAL STUDIES IN HEALTH AND SOCIETY,1,0.003
CROATIAN JOURNAL OF EDUCATION HRVATSKI CASOPIS ZA ODGOJ I OBRAZOVANJE,1,0.003
CROP PASTURE SCIENCE,1,0.003
CUKUROVA MEDICAL JOURNAL,1,0.003
CULTURE MIND AND SOCIETY,1,0.003
CULTURE PSYCHOLOGY,1,0.003
CURRENT CANCER DRUG TARGETS,1,0.003
CURRENT CLINICAL PHARMACOLOGY,1,0.003
CURRENT DRUG DELIVERY,1,0.003
CURRENT DRUG METABOLISM,1,0.003
CURRENT EMERGENCY AND HOSPITAL MEDICINE REPORTS,1,0.003
CURRENT EYE RESEARCH,1,0.003
CURRENT GENETIC MEDICINE REPORTS,1,0.003
CURRENT GERIATRICS REPORTS,1,0.003
CURRENT HIV RESEARCH,1,0.003
CURRENT ISSUES IN WORK AND ORGANIZATIONAL PSYCHOLOGY,1,0.003
CURRENT MEDICAL SCIENCE,1,0.003
CURRENT NUTRITION FOOD SCIENCE,1,0.003
CURRENT OPINION IN GENETICS DEVELOPMENT,1,0.003
CURRENT OPINION IN ORGAN TRANSPLANTATION,1,0.003
CURRENT OPINION IN PHYSIOLOGY,1,0.003
CURRENT ORTHOPAEDIC PRACTICE,1,0.003
CURRENT PAIN AND HEADACHE REPORTS,1,0.003
CURRENT PEDIATRIC REVIEWS,1,0.003
CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE,1,0.003
CURRENT PROBLEMS IN SURGERY,1,0.003
CURRENT PROTEIN PEPTIDE SCIENCE,1,0.003
CURRENT SCIENCE,1,0.003
CURRENT THERAPEUTIC RESEARCH CLINICAL AND EXPERIMENTAL,1,0.003
CURRENT TOPICS IN BEHAVIORAL NEUROSCIENCES,1,0.003
CURRENT TREATMENT OPTIONS IN NEUROLOGY,1,0.003
CURRENT UROLOGY REPORTS,1,0.003
CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,1,0.003
CYPRUS JOURNAL OF MEDICAL SCIENCES,1,0.003
CYTOKINE EFFECTOR FUNCTIONS IN TISSUES,1,0.003
DAIRY IN HUMAN HEALTH AND DISEASE ACROSS THE LIFESPAN,1,0.003
DAIRY SCIENCE TECHNOLOGY,1,0.003
DANGEROUSLY SLEEPY OVERWORKED AMERICANS AND THE CULT OF MANLY WAKEFULNESS,1,0.003
DANISH MEDICAL JOURNAL,1,0.003
DATA IN BRIEF,1,0.003
DATA MINING TO DETERMINE RISK IN MEDICAL DECISIONS,1,0.003
DATABASE THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,1,0.003
DELIVERING POLICY THE CONTESTED POLITICS OF ASSISTED REPRODUCTIVE TECHNOLOGIES IN CANADA,1,0.003
DEMOGRAPHIC RESEARCH,1,0.003
DEPRESSION AND PHYSICAL ILLNESS,1,0.003
DERMATOLOGIC CLINICS,1,0.003
DEVELOPMENTAL NEUROBIOLOGY,1,0.003
DEVELOPMENTAL SCIENCE,1,0.003
DIABETES AN OLD DISEASE A NEW INSIGHT,1,0.003
DIABETES AND PHYSICAL ACTIVITY,1,0.003
DIABETES MELLITUS,1,0.003
DIABETES NUTRITION METABOLISM,1,0.003
DIABETIC CARDIOMYOPATHY BIOCHEMICAL AND MOLECULAR MECHANISMS,1,0.003
DIAGNOSTICS,1,0.003
DIALOGUES IN CLINICAL NEUROSCIENCE,1,0.003
DIET AND EXERCISE IN COGNITIVE FUNCTION AND NEUROLOGICAL DISEASES,1,0.003
DIET EXERCISE AND CHRONIC DISEASE THE BIOLOGICAL BASIS OF PREVENTION,1,0.003
DIETARY FIBER IN HEALTH AND DISEASE,1,0.003
DIETARY FIBRE,1,0.003
DIETARY FIBRE NEW FRONTIERS FOR FOOD AND HEALTH,1,0.003
DIETARY PHOSPHORUS EXCESS AND HEALTH,1,0.003
DIETARY SUGARS CHEMISTRY ANALYSIS FUNCTION AND EFFECTS,1,0.003
DIFFICULT TO TREAT SEVERE ASTHMA,1,0.003
DIGESTION,1,0.003
DIGESTIVE DISEASES,1,0.003
DIGNITY AND HEALTH,1,0.003
DISCOVERY MEDICINE,1,0.003
DISEASE MANAGEMENT HEALTH OUTCOMES,1,0.003
DISEASE MODELS MECHANISMS,1,0.003
DIVERSITY AND CHANGE IN FOOD WELLBEING CASES FROM SOUTHEAST ASIA AND NEPAL,1,0.003
DIVERSITY IDEOLOGIES IN ORGANIZATIONS,1,0.003
DOCUMENTOS,1,0.003
DOES REGULATION KILL JOBS,1,0.003
DOING NUTRITION DIFFERENTLY CRITICAL APPROACHES TO DIET AND DIETARY INTERVENTION,1,0.003
DRUG DESIGN DEVELOPMENT AND THERAPY,1,0.003
DRUG DEVELOPMENT RESEARCH,1,0.003
DRUG DISCOVERY FOR THE TREATMENT OF ADDICTION MEDICINAL CHEMISTRY STRATEGIES,1,0.003
DRUG DISCOVERY TODAY,1,0.003
DRUG METABOLISM AND DISPOSITION,1,0.003
DRUG METABOLISM AND PHARMACOKINETICS,1,0.003
DRUG SAFETY,1,0.003
DRUG TESTING AND ANALYSIS,1,0.003
DRUG TRANSIT AND DISTRIBUTION INTERCEPTION AND CONTROL,1,0.003
DRUGS AGING,1,0.003
DRUGS OF THE FUTURE,1,0.003
DUKE LAW JOURNAL,1,0.003
EAR AND HEARING,1,0.003
EARLY INTERVENTION IN PSYCHIATRY,1,0.003
EARLY NUTRITION AND LONG TERM HEALTH MECHANISMS CONSEQUENCES AND OPPORTUNITIES,1,0.003
EARLY VASCULAR AGING EVA NEW DIRECTIONS IN CARDIOVASCULAR PROTECTION,1,0.003
EARTHSCAN FOOD AND AGRICULTURE SERIES,1,0.003
EAST AFRICAN MEDICAL JOURNAL,1,0.003
EASTERN MEDITERRANEAN HEALTH JOURNAL,1,0.003
EATING DISORDERS,1,0.003
ECOLOGICAL ECONOMICS,1,0.003
ECONOMETRICS JOURNAL,1,0.003
ECONOMICS OF OBESITY,1,0.003
EDUCATION SCIENCES,1,0.003
EDUCATIONAL GERONTOLOGY,1,0.003
EFFECTS OF COMMUTING ON PILOT FATIGUE,1,0.003
EFFECTS OF FARM AND FOOD POLICY ON OBESITY IN THE UNITED STATES,1,0.003
EFFECTS OF LIFESTYLE ON MEN S HEALTH,1,0.003
EGYPTIAN PHARMACEUTICAL JOURNAL,1,0.003
EINSTEIN SAO PAULO,1,0.003
ELECTROMAGNETIC BIOLOGY AND MEDICINE,1,0.003
ELECTRONIC JOURNAL OF GENERAL MEDICINE,1,0.003
ELECTROPHORESIS,1,0.003
EMERGENCY MEDICINE INTERNATIONAL,1,0.003
EMERGENCY MEDICINE JOURNAL,1,0.003
EMERGING ADULTHOOD,1,0.003
EMERGING PATHOLOGIES IN CARDIOLOGY,1,0.003
EMOTION REVIEW,1,0.003
EMOTIONALIZING ORGANIZATIONS AND ORGANIZING EMOTIONS,1,0.003
EMPIRICAL ECONOMICS,1,0.003
ENCEPHALE REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,1,0.003
ENDOCRINE DISRUPTERS,1,0.003
ENDOCRINE UPDATES,1,0.003
ENDOCRINOLOGIA DIABETES Y NUTRICION,1,0.003
ENDOCRINOLOGIA Y NUTRICION,1,0.003
ENDOKRYNOLOGIA POLSKA,1,0.003
ENDOTHELIUM AND CARDIOVASCULAR DISEASES VASCULAR BIOLOGY AND CLINICAL SYNDROMES,1,0.003
ENERGY BALANCE AND GASTROINTESTINAL CANCER,1,0.003
ENERGY METABOLISM AND OBESITY RESEARCH AND CLINICAL APPLICATIONS,1,0.003
ENEURO,1,0.003
ENVIRONMENT AND PLANNING A ECONOMY AND SPACE,1,0.003
ENVIRONMENT BEHAVIOUR PROCEEDINGS JOURNAL,1,0.003
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,1,0.003
ENVIRONMENTAL DETERMINANTS OF HUMAN HEALTH,1,0.003
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,1,0.003
ENVIRONMENTAL JUSTICE,1,0.003
ENVIRONMENTAL MANAGEMENT,1,0.003
ENVIRONMENTAL PRACTICE,1,0.003
ENVIRONNEMENT RISQUES SANTE,1,0.003
ENVISIONING THE INTEGRATION OF AN INTERSECTIONAL LENS IN DEVELOPMENTAL SCIENCE,1,0.003
EPIDEMIOLOGIA PREVENZIONE,1,0.003
EPIDEMIOLOGY AND HEALTH,1,0.003
EPIDEMIOLOGY BIOSTATISTICS AND PUBLIC HEALTH,1,0.003
EPIDEMIOLOGY OF OBESITY IN CHILDREN AND ADOLESCENTS PREVALENCE AND ETIOLOGY,1,0.003
EPIGENOME AND DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,1,0.003
EPILEPSIA,1,0.003
EPILEPSY BEHAVIOR,1,0.003
EQUALITY DIVERSITY AND INCLUSION AT WORK A RESEARCH COMPANION,1,0.003
EQUINE VETERINARY JOURNAL,1,0.003
EQUITY AND JUSTICE IN DEVELOPMENTAL SCIENCE THEORETICAL AND METHODOLOGICAL ISSUES,1,0.003
EQUITY SOCIAL DETERMINANTS AND PUBLIC HEALTH PROGRAMMES,1,0.003
ESSAYS IN BIOCHEMISTRY,1,0.003
ESSAYS IN BIOCHEMISTRY VOL 42,1,0.003
ESSENTIAL METALS IN MEDICINE THERAPEUTIC USE AND TOXICITY OF METAL IONS IN THE CLINIC,1,0.003
ESTABLISHING MEDICAL REALITY ESSAYS IN THE METAPHYSICS AND EPISTEMOLOGY OF BIOMEDICAL SCIENCE,1,0.003
ETHICAL THEORY AND MORAL PRACTICE,1,0.003
ETHICS AND THE POLITICS OF FOOD,1,0.003
ETHIOPIAN JOURNAL OF HEALTH SCIENCES,1,0.003
ETHNICITIES,1,0.003
ETHNICITY AND INTEGRATION UNDERSTANDING POPULATION TRENDS AND PROCESSES VOL 3,1,0.003
ETHNOCULTURAL PERSPECTIVES ON DISASTER AND TRAUMA FOUNDATIONS ISSUES AND APPLICATIONS,1,0.003
ETHOLOGY AND SOCIOBIOLOGY,1,0.003
EURE REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,1,0.003
EUROPEAN HEART JOURNAL ACUTE CARDIOVASCULAR CARE,1,0.003
EUROPEAN HEART JOURNAL QUALITY OF CARE AND CLINICAL OUTCOMES,1,0.003
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,1,0.003
EUROPEAN JOURNAL OF BIOCHEMISTRY,1,0.003
EUROPEAN JOURNAL OF CANCER CARE,1,0.003
EUROPEAN JOURNAL OF CANCER PREVENTION,1,0.003
EUROPEAN JOURNAL OF CLINICAL CHEMISTRY AND CLINICAL BIOCHEMISTRY,1,0.003
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY INFECTIOUS DISEASES,1,0.003
EUROPEAN JOURNAL OF GASTROENTEROLOGY HEPATOLOGY,1,0.003
EUROPEAN JOURNAL OF HAEMATOLOGY,1,0.003
EUROPEAN JOURNAL OF HEALTH ECONOMICS,1,0.003
EUROPEAN JOURNAL OF HUMAN MOVEMENT,1,0.003
EUROPEAN JOURNAL OF IMMUNOLOGY,1,0.003
EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,1,0.003
EUROPEAN JOURNAL OF INVESTIGATION IN HEALTH PSYCHOLOGY AND EDUCATION,1,0.003
EUROPEAN JOURNAL OF MARKETING,1,0.003
EUROPEAN JOURNAL OF MEDICAL RESEARCH,1,0.003
EUROPEAN JOURNAL OF MICROBIOLOGY AND IMMUNOLOGY,1,0.003
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,1,0.003
EUROPEAN JOURNAL OF ORAL SCIENCES,1,0.003
EUROPEAN JOURNAL OF POPULATION REVUE EUROPEENNE DE DEMOGRAPHIE,1,0.003
EUROPEAN PHYSICAL EDUCATION REVIEW,1,0.003
EUROPEAN PROCEEDINGS OF SOCIAL AND BEHAVIOURAL SCIENCES,1,0.003
EUROPEAN PSYCHOLOGIST,1,0.003
EUROPEAN REVIEW OF AGING AND PHYSICAL ACTIVITY,1,0.003
EUROPEAN SPINE JOURNAL,1,0.003
EUROPEAN UROLOGY,1,0.003
EUROPES JOURNAL OF PSYCHOLOGY,1,0.003
EVALUATION AND PROGRAM PLANNING,1,0.003
EVALUATION REVIEW,1,0.003
EVOLUTION OF PSYCHOPATHOLOGY,1,0.003
EVOLUTIONARY PSYCHOLOGY SERIES,1,0.003
EXERCISE AND CHRONIC DISEASE AN EVIDENCE BASED APPROACH,1,0.003
EXERCISE AND SPORT SCIENCES REVIEWS SERIES,1,0.003
EXERCISE AND SPORT SCIENCES REVIEWS VOLUME 28 1998,1,0.003
EXPERIMENTAL AND MOLECULAR MEDICINE,1,0.003
EXPERIMENTAL AND MOLECULAR PATHOLOGY,1,0.003
EXPERIMENTAL DERMATOLOGY,1,0.003
EXPERIMENTAL LUNG RESEARCH,1,0.003
EXPERT OPINION ON DRUG SAFETY,1,0.003
EXPERT OPINION ON ORPHAN DRUGS,1,0.003
EXPERT REVIEW OF MEDICAL DEVICES,1,0.003
EXPERT REVIEW OF PROTEOMICS,1,0.003
EXPERT REVIEWS IN MOLECULAR MEDICINE,1,0.003
EXPLORATIONS IN DEVELOPMENTAL PSYCHOLOGY,1,0.003
EXPLORE THE JOURNAL OF SCIENCE AND HEALING,1,0.003
FAMILY COURT REVIEW,1,0.003
FAMILY CULTURE AND SELF IN THE DEVELOPMENT OF EATING DISORDERS,1,0.003
FAMILY PROCESS,1,0.003
FAMILY RELATIONS,1,0.003
FASCINATING LIFE SCIENCES,1,0.003
FEBS OPEN BIO,1,0.003
FEEDING CITIES IMPROVING LOCAL FOOD ACCESS SECURITY AND RESILIENCE,1,0.003
FERMENTED FOODS IN HEALTH AND DISEASE PREVENTION,1,0.003
FIBERS,1,0.003
FIBRINOLYSIS,1,0.003
FIBROMYALGIA A PRACTICAL CLINICAL GUIDE,1,0.003
FINANZARCHIV,1,0.003
FINLAY,1,0.003
FIRST US JAPANESE DIALOGUE ON LIPID DISORDERS AND CORONARY ARTERY DISEASE,1,0.003
FISHERIES SCIENCE,1,0.003
FLAVOR SATIETY AND FOOD INTAKE,1,0.003
FLUIDS AND BARRIERS OF THE CNS,1,0.003
FOLIA BIOLOGICA KRAKOW,1,0.003
FOOD ADDITIVES CONTAMINANTS PART B SURVEILLANCE,1,0.003
FOOD AND AGRICULTURAL IMMUNOLOGY,1,0.003
FOOD AND BIOPROCESS TECHNOLOGY,1,0.003
FOOD AND DRUG LAW JOURNAL,1,0.003
FOOD AND NUTRITIONAL COMPONENTS IN FOCUS,1,0.003
FOOD AND THE RISK SOCIETY THE POWER OF RISK PERCEPTION,1,0.003
FOOD BIOSCIENCE,1,0.003
FOOD DIET AND HEALTH PAST PRESENT AND FUTURE TENDENCIES,1,0.003
FOOD ENGINEERING ASPECTS OF BAKING SWEET GOODS,1,0.003
FOOD FOR THE AGEING POPULATION,1,0.003
FOOD HYDROCOLLOIDS,1,0.003
FOOD MICROBIOLOGY,1,0.003
FOOD QUALITY AND PREFERENCE,1,0.003
FOOD SCIENCE AND TECHNOLOGY,1,0.003
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,1,0.003
FOOD SCIENCE AND TECHNOLOGY RESEARCH,1,0.003
FOOD SCIENCE AND TECHNOLOGY SERIES,1,0.003
FOOD TECHNOLOGY AND BIOTECHNOLOGY,1,0.003
FOODS,1,0.003
FORMOSAN JOURNAL OF SURGERY,1,0.003
FORMULARY,1,0.003
FORSCHENDE KOMPLEMENTARMEDIZIN,1,0.003
FROM MOLECULE TO MEN,1,0.003
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,1,0.003
FRONTIERS IN BIOSCIENCE,1,0.003
FRONTIERS IN CARDIOVASCULAR HEALTH,1,0.003
FRONTIERS IN CORONARY ARTERY DISEASE,1,0.003
FRONTIERS IN MICROBIOLOGY,1,0.003
FRONTIERS IN MOLECULAR NEUROSCIENCE,1,0.003
FRONTIERS IN ONCOLOGY,1,0.003
FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,1,0.003
FRONTIERS IN SYSTEMS NEUROSCIENCE,1,0.003
FRONTIERS IN ZOOLOGY,1,0.003
FRONTIERS OF MATERIALS SCIENCE,1,0.003
FRONTIERS OF MEDICINE,1,0.003
FRONTIERS OF SOCIAL PSYCHOLOGY,1,0.003
FRUIT AND VEGETABLE CONSUMPTION AND HEALTH,1,0.003
FRUIT AND VEGETABLE PHYTOCHEMICALS CHEMISTRY AND HUMAN HEALTH VOLS I II 2ND EDITION,1,0.003
FULFILLING WORKPLACE THE ORGANIZATION S ROLE IN ACHIEVING INDIVIDUAL AND ORGANIZATIONAL HEALTH,1,0.003
FUNCTIONAL FOODS CONCEPT TO PRODUCT 2ND EDITION,1,0.003
FUNCTIONAL FOODS IN HEALTH AND DISEASE,1,0.003
FUNCTIONAL FOODS NUTRACEUTICALS AND DEGENERATIVE DISEASE PREVENTION,1,0.003
FUNCTIONAL FOODS SCIENCE AND TECHNOLOGY,1,0.003
FUNCTIONAL IMAGING AND MODELING OF THE HEART,1,0.003
FUNCTIONS OF LANGUAGE,1,0.003
FUTURE OF AGING PATHWAYS TO HUMAN LIFE EXTENSION,1,0.003
FUTURE OF CHILDREN,1,0.003
FUTURE SCIENCE OA,1,0.003
G3 GENES GENOMES GENETICS,1,0.003
GALEN MEDICAL JOURNAL,1,0.003
GASTROENTEROLOGE,1,0.003
GASTROENTEROLOGIE CLINIQUE ET BIOLOGIQUE,1,0.003
GASTROENTEROLOGY CLINICS OF NORTH AMERICA,1,0.003
GASTROENTEROLOGY REPORT,1,0.003
GASTROENTEROLOGY RESEARCH AND PRACTICE,1,0.003
GASTROINTESTINAL TISSUE OXIDATIVE STRESS AND DIETARY ANTIOXIDANTS,1,0.003
GAY BISEXUAL MEN LIVING WITH PROSTATE CANCER FROM DIAGNOSIS TO RECOVERY,1,0.003
GAZI MEDICAL JOURNAL,1,0.003
GEBURTSHILFE UND FRAUENHEILKUNDE,1,0.003
GEMATOLOGIYA I TRANSFUZIOLOGIYA,1,0.003
GENDER AND SEXUALITY IN THE WORKPLACE,1,0.003
GENES AND OBESITY,1,0.003
GENES CHROMOSOMES CANCER,1,0.003
GENES DISEASES,1,0.003
GENETIC COUNSELING,1,0.003
GENETIC TESTING,1,0.003
