Organizations_Enhanced,records,percent_of_total
CARDIOMYOPATHY ASSOC,1,0.003
CARDIOVASC CONSULTANTS LONG ISL PC,1,0.003
CARDIOVASC CONSULTANTS PC,1,0.003
CARDIOVASC CTR ZURICH,1,0.003
CARDIOVASC DIABETOL RES FDN,1,0.003
CARDIOVASC EPIDEMIOL GRP,1,0.003
CARDIOVASC GRP,1,0.003
CARDIOVASC HLTH RES UNIT,1,0.003
CARDIOVASC HOSP CENT JAPAN,1,0.003
CARDIOVASC ICU,1,0.003
CARDIOVASC MED PC,1,0.003
CARDIOVASC NEUROL CONSULTING INST,1,0.003
CARDIOVASC NEUROL INST,1,0.003
CARDIOVASC RES INST,1,0.003
CARDIOVASC RES INST BASEL,1,0.003
CARDIOVASC RES SCH COEUR,1,0.003
CARDIOVASC SPECIAL STUDIES CTR,1,0.003
CARDIOVASCULAR RESEARCH FOUNDATION CRF,1,0.003
CARDNO CHEMRISK,1,0.003
CARE ART,1,0.003
CARE COORDINAT INST,1,0.003
CARE EVOLUT,1,0.003
CARE IMPROVEMENT PLUS,1,0.003
CARE OF CANDIDO FG,1,0.003
CARE PUBL HLTH RES INST,1,0.003
CAREWELL HEART SUPERSPECIAL HOSP,1,0.003
CAREWEST DR VERNON FANNING CTR,1,0.003
CARGILL,1,0.003
CARIBBEAN MED UNIV,1,0.003
CARING NETWORK,1,0.003
CARINTHIA UNIV APPL SCI,1,0.003
CARITAS DIOCESANA BARCELONA,1,0.003
CARL T HAYDEN VET AFFAIRS MED CTR,1,0.003
CARL VON OSSIETZKY UNIVERSITAT OLDENBURG,1,0.003
CARLOS ALBIZU UNIV,1,0.003
CARLSBERG GRP,1,0.003
CAROLINA POPULAT CTR CB 8120,1,0.003
CARON TREATMENT CTR,1,0.003
CAROUSEL DINNER THEATRE,1,0.003
CARSON WATTS CONSULTING,1,0.003
CARSON WATTS CONSULTING LLC,1,0.003
CARTAGENA HLTH CTR,1,0.003
CARTAGENE,1,0.003
CASA DI CURA MERRY HOUSE,1,0.003
CASA DI CURA SAN MICHELE,1,0.003
CASA SAUDE SAO JOSE,1,0.003
CASEBIA THERAPEUT,1,0.003
CASTLETON STATE COLL,1,0.003
CATALAN AGCY HLTH TECHNOL ASSESSMENT RES,1,0.003
CATALAN HLTH DEPT,1,0.003
CATALAN TRAFF AUTHOR,1,0.003
CATALONIA HLTH DEPT,1,0.003
CATALYT LONGEV,1,0.003
CATHERINE MCAULEY RES CTR,1,0.003
CATHOLIC CLIN KOBLENZ,1,0.003
CATHOLIC MED CTR,1,0.003
CATHOLIC UNIV AUSTRALIA,1,0.003
CATHOLIC UNIV GUAYAQUIL,1,0.003
CATHOLIC UNIV KOREA DAEJEON,1,0.003
CATHOLIC UNIV LOUVAIN,1,0.003
CATHOLIC UNIVERSITY OF CORDOBA,1,0.003
CATI MULTICTR NEUROIMAGING PLATFORM,1,0.003
CATTEDRA PATOL MEDICA MED,1,0.003
CBS NEWS POLL,1,0.003
CCDOR,1,0.003
CEBA FOODS,1,0.003
CEDARS SINAI BIOSTAT CORE,1,0.003
CEDARS SINAI FATTY LIVER PROGRAM,1,0.003
CEDARS SINAI SLEEP MED FELLOWSHIP PROGRAM,1,0.003
CEDARS SINAR MED CTR,1,0.003
CEGEP LEVIS LAUZON,1,0.003
CEIFE,1,0.003
CEIP MIGUEL MEDINA ARCHENA,1,0.003
CELERA INC GENET,1,0.003
CELERION,1,0.003
CENEGEN MED INST,1,0.003
CENT ADELAIDE LOCAL HLTH NETWORK,1,0.003
CENT BAPTIST COLL,1,0.003
CENT BLOOD BANK,1,0.003
CENT CLIN SCH,1,0.003
CENT DENMARK REG,1,0.003
CENT FALLS HIHG SCH,1,0.003
CENT HOSP BAOTOU,1,0.003
CENT HOSP KARLSTAD,1,0.003
CENT HOSP LINYI,1,0.003
CENT HOSP LONGHUA DIST,1,0.003
CENT HOSP NORTH KARELIA,1,0.003
CENT HOSP SHANGHAI QINGPU DIST,1,0.003
CENT NEW MEXICO COMMUNITY COLL,1,0.003
CENT OFF,1,0.003
CENT POLICE UNIV,1,0.003
CENT SATAKUNTA HLTH FEDERAT MUNICIPAL,1,0.003
CENT SYDNEY AREA HLTH SERV,1,0.003
CENT TEXAS NEPHROL ASSOCIATES,1,0.003
CENTER FOR CREATIVE LEADERSHIP,1,0.003
CENTERING HEALTHCARE INST,1,0.003
CENTRAL EUROPEAN UNIVERSITY,1,0.003
CENTRAL FLORIDA SOUTH,1,0.003
CENTRAL INSTITUTE FOR LABOUR PROTECTION NATIONAL RESEARCH INSTITUTE,1,0.003
CENTRAL TAIWAN UNIVERSITY SCIENCE TECHNOLOGY,1,0.003
CENTRAL UNIVERSITY OF FINANCE ECONOMICS,1,0.003
CENTRAL UNIVERSITY OF PUNJAB,1,0.003
CENTRALESUPELEC,1,0.003
CENTRE DE BIOTECHNOLOGIE DE SFAX,1,0.003
CENTRE DE MATERNITE ET DE NEONATOLOGIE,1,0.003
CENTRE FRANCOIS BACLESSE,1,0.003
CENTRE HOSPITALIER DE VERSAILLES,1,0.003
CENTRE MURAZ,1,0.003
CENTRE NATIONAL DE LA MEDECINE SCIENCES DES SPORTS,1,0.003
CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS CEMIC,1,0.003
CENTRO UNIVERSITARIO AUGUSTO MOTTA UNISUAM,1,0.003
CENTRO UNIVERSITARIO DE BELO HORIZONTE,1,0.003
CENTRO UNIVERSITARIO DE RIO PRETO,1,0.003
CENTRO UNIVERSITARIO DO ESTADO DO PARA CESUPA,1,0.003
CENTRO UNIVERSITARIO METODISTA IPA,1,0.003
CENTRO UNIVERSITARIO PLINIO LEITE UNIPLI,1,0.003
CENTRO UNIVERSITARIO SAO CAMILO,1,0.003
CENTRO UNIVERSITARIO VILA VELHA,1,0.003
CENVIRON INT CORP,1,0.003
CEPARH,1,0.003
CEPHAM RES CTR,1,0.003
CEREFI LTD,1,0.003
CERNH,1,0.003
CERRITOS COLL,1,0.003
CESPU,1,0.003
CETIOM,1,0.003
CH BAYEUX,1,0.003
CH MANS,1,0.003
CH MED CTR,1,0.003
CHA,1,0.003
CHA CHUNCHEON,1,0.003
CHA UNIV SCH MED,1,0.003
CHAMARAJANAGAR INST MED SCI,1,0.003
CHAMEL FITNESS,1,0.003
CHAMINADE UNIV,1,0.003
CHANDIGARH SENIOR CONSULTANT PHYSICIAN RHEUMA,1,0.003
CHANDLER GILBERT COMMUNITY COLL,1,0.003
CHANG BING SHOW CHWAN MEMORIAL HOSPITAL,1,0.003
CHANG GUNG UNIV,1,0.003
CHANG MEM HOSP,1,0.003
CHANGCHUN UNIVERSITY OF CHINESE MEDICINE,1,0.003
CHANGE LAB SOLUT,1,0.003
CHANGHAI HOSP SHANGHAI,1,0.003
CHANGNING RETIREMENT CADRE REST CARE CLIN,1,0.003
CHANGSHA MEDICAL UNIVERSITY,1,0.003
CHANGZHOU UNIVERSITY,1,0.003
CHANNING LAB,1,0.003
CHARITE UNIVE MED BERLIN,1,0.003
CHARITE VIVANTES GMBH,1,0.003
CHARLES H BEST DIABET CTR,1,0.003
CHARLES JANE PK CTR MINERAL METAB CLIN RES,1,0.003
CHARLES LE MOYNE HOSP,1,0.003
CHARLES RIVER LABS CLIN SERV,1,0.003
CHARLOTTESVILLE PUBL HOUSING ASSOC RESIDENTS,1,0.003
CHATHAM SOCIAL HLTH COUNCIL,1,0.003
CHATTISGARH DENT COLL RES INST,1,0.003
CHEIL GEN HOSP,1,0.003
CHENG CHING HOSP,1,0.003
CHENGDU MIL GEN HOSP,1,0.003
CHEST RES FDN,1,0.003
CHESTNUT HILL COLL,1,0.003
CHETTINAD ACAD RES EDUC CARE,1,0.003
CHG COTE BASQUE,1,0.003
CHG TARBES,1,0.003
CHI HUNG CLIN,1,0.003
CHI ST ALEXIUS MED CTR,1,0.003
CHIA NAN UNIVERSITY OF PHARMACY SCIENCE,1,0.003
CHIA YI CHRISTIAN HOSPITAL,1,0.003
CHIBA CARDIOVASC CTR,1,0.003
CHIBA CEREBRAL CARDIOVASC CTR,1,0.003
CHIBA CITY PUBL HLTH CTR,1,0.003
CHIBA EAST HOSP,1,0.003
CHIBA INSTITUTE OF TECHNOLOGY,1,0.003
CHIBA PREFECTURAL UNIV HLTH SCI,1,0.003
CHIBA PSYCHIAT MED CTR,1,0.003
CHIBA RESEARCHERS NETWORK HLTH CARE PROMOT,1,0.003
CHICAGO LYING IN HOSP,1,0.003
CHICHIBU MUNICIPAL HOSP,1,0.003
CHIDORIBASHI GEN HOSP,1,0.003
CHIGASAKI MUNICIPAL HOSP,1,0.003
CHIKUSEI MUNICIPAL OFF,1,0.003
CHILD ADOLESCENT HLTH MEASUREMENT INITIAT,1,0.003
CHILD WOMENS HLTH CALGARY HLTH REG,1,0.003
CHILD YOUTH WOMENS HLTH SERV,1,0.003
CHILDREN S HOSPITAL OF NEW ORLEANS,1,0.003
CHILDRENS DEF FUND,1,0.003
CHILDRENS ENVIRONM HLTH INITIAT,1,0.003
CHILDRENS HEARTLINK,1,0.003
CHILDRENS HOSP HOCHRIED,1,0.003
CHILDRENS HOSP KAIFENG,1,0.003
CHILDRENS HOSP MED CTR,1,0.003
CHILDRENS HOSP RES CTR,1,0.003
CHILDRENS HOSP SREBRNJAK,1,0.003
CHILDRENS HOSP ZHENGZHOU,1,0.003
CHILDRENS MED CTR,1,0.003
CHILDRENS MED CTR DALLAS,1,0.003
CHILDRENS MERCY INTEGRATED CARE SOLUT,1,0.003
CHILDRENS TELEVIS WORKSHOP,1,0.003
CHILDRENS UNIVERSITY HOSPITAL TEMPLE STREET,1,0.003
CHILDRENS WOMENS HLTH CTR,1,0.003
CHINA ACAD TRADIT CHINESE MED,1,0.003
CHINA BAOWU STEEL GROUP,1,0.003
CHINA INST IND HLTH,1,0.003
CHINA INST SPORT SCI,1,0.003
CHINA MED ASSOC,1,0.003
CHINA MED UNIV,1,0.003
CHINA NATIONAL INSTITUTE OF STANDARDIZATION,1,0.003
CHINA RESOURCES GROUP,1,0.003
CHINESE 301 GEN HOSP,1,0.003
CHINESE ACAD ENGN,1,0.003
CHINESE ACADEMY OF SOCIAL SCIENCES,1,0.003
CHINESE HYPERTENSION LEAGUE,1,0.003
CHINESE NATL CTR CARDIOVASC DIS CONTROL RES,1,0.003
CHINESE NATL HUMAN GENOME CTR BEIJING,1,0.003
CHINESE NUTR SOC,1,0.003
CHINESE PEOPLES ARMED POLICE FORCE,1,0.003
CHINESE PIA GEN HOSP,1,0.003
CHINESE PLA,1,0.003
CHINESE TRADIT HOSP ZHEJIANG,1,0.003
CHONG HUA HOSP,1,0.003
CHONGQING CHILDRENS HOSP,1,0.003
CHONGQING CLIN RES CTR GERIATR,1,0.003
CHONGQING GEN HOSP,1,0.003
CHONGQING INST SCI TECHNOL POPULAT FAMILY PLA,1,0.003
CHONGQING KEY LAB RES INFECT DIS,1,0.003
CHONGQING MED PHARMACEUT COLL,1,0.003
CHONGQING MUNICIPAL CTR DIS CONTROL PREVENT,1,0.003
CHONGQING NINTH PEOPLES HOSP,1,0.003
CHONGQING PREVENT TREATMENT HOSP OCCUPAT DIS,1,0.003
CHONGQING TECHNOLOGY BUSINESS UNIVERSITY,1,0.003
CHONGQING UNIVERSITY OF ARTS SCIENCES,1,0.003
CHONGQING ZHONGSHAN HOSP,1,0.003
CHR,1,0.003
CHR UNIV REIMS,1,0.003
CHRIST COMMUNITY HLTH SERV,1,0.003
CHRISTCHURCH HEART INST,1,0.003
CHRISTIAN NE HOSP,1,0.003
CHRISTIANA HEALTHCARE,1,0.003
CHRISTINE KIIHNE CTR ALLERGY RES EDUC,1,0.003
CHRISTINE KUHNE CTR ALLERGY RES EDUC,1,0.003
CHRISTUS MED CTR HOSP,1,0.003
CHRON DIS RES GRP,1,0.003
CHU BAB EL OUED,1,0.003
CHU BASSE TERRE,1,0.003
CHU DE CAEN NORMANDIE,1,0.003
CHU GUADELOUPE,1,0.003
CHU POITIERS,1,0.003
CHU REUNION,1,0.003
CHU SAINTE JUSTINE RES CTR,1,0.003
CHU SANOU SOURO,1,0.003
CHU STE JUSTINE RES CTR,1,0.003
CHU TREICHVILLE,1,0.003
CHU VAUDOIS,1,0.003
CHU YALGADO OUEDRAOGO,1,0.003
CHUBU GAKUIN UNIV,1,0.003
CHUGOKU CANC CTR,1,0.003
CHUKYO UNIVERSITY,1,0.003
CHULA VISTA COMMUNITY COLLABORAT,1,0.003
CHULABHORN RESEARCH INSTITUTE,1,0.003
CHUNCHEON SACRED HEART HOSP,1,0.003
CHUNG CHOU UNIV SCI TECHNOL,1,0.003
CHUNG HUA FDN PERSONS INTELLECTUAL DISABIL,1,0.003
CHUNG HUA FDN PERSONS INTELLECTUAL DISABILITIES,1,0.003
CHUNG JEN JR COLL NURSING HLTH SCI MANAGEMENT,1,0.003
CHUNGBUK NATL UNIV HOSP COLL,1,0.003
CHUNGJU MED CTR,1,0.003
CHUNGWOON UNIV,1,0.003
CHUO,1,0.003
CIBER,1,0.003
CIBERBBN,1,0.003
CIBERSAM BIOMED RES NETWORKING CTR MENTAL HLTH,1,0.003
CIC 9502,1,0.003
CIC BIOMAGUNE,1,0.003
CIC NECKER,1,0.003
CIGES UNIV LA FRONTERA UFRO,1,0.003
CIGLI STATE HOSP,1,0.003
CIHEAM,1,0.003
CIHEAM IAM MONTPELLIER,1,0.003
CIHR CANADIAN HIV TRIALS NETWORK,1,0.003
CIMI PARIS,1,0.003
CINFA LABS,1,0.003
CINTESIS,1,0.003
CINTESIS CTR RES HLTH TECHNOL INFORMAT SYST,1,0.003
CIPTO MANGUNKUSUMO HOSP RSCM,1,0.003
CIRCADIAN MED INTL,1,0.003
CIRCLE CARDIOVASC IMAGING,1,0.003
CITIZENS HOSP,1,0.003
CITTADELLA CARITA FDN,1,0.003
CITY CLIN HOSP,1,0.003
CITY CORDOBA,1,0.003
CITY EL PASO,1,0.003
CITY KUOPIO CTR SOCIAL HLTH SERV,1,0.003
CITY MEDSAVE HOSP,1,0.003
CITY NEW YORK,1,0.003
CITY UNIVERSITY OF NEW YORK CUNY GRADUATE SCHOOL,1,0.003
CIUDAD REAL HOSP,1,0.003
CIUSSS CAPITALE NATL,1,0.003
CIUSSS NIM,1,0.003
CIVIL AVIAT GEN HOSP,1,0.003
CIVIL HOSP,1,0.003
CIVIL HOSP GUADALAJARA FRAY ANTONIO ALCALDE,1,0.003
CLACKAMAS CTY PUBL HLTH DIV,1,0.003
CLARA ANGELA FDN,1,0.003
CLARK INC,1,0.003
CLAYTON CTY BOARD HLTH,1,0.003
CLEARWAY MINNESOTASM,1,0.003
CLEAVE BIOSCI INC,1,0.003
CLEMENSHOSP,1,0.003
CLEMENTINO FRAGA FILHO UNIV HOSP,1,0.003
CLEVELAND CLIN AKRON GEN,1,0.003
CLIN ARLESHEIM,1,0.003
CLIN BALEAR,1,0.003
CLIN CARDIOSPORT PREVENCAO REABILITACAO,1,0.003
CLIN CTR,1,0.003
CLIN CTR MONTENEGRO,1,0.003
CLIN CTR SKOPJE,1,0.003
CLIN CTR STELLA MARIS,1,0.003
CLIN ENDOCRINOL DIABET METAB DIS,1,0.003
CLIN ENDOCRINOL METABOL,1,0.003
CLIN ENTER NEUROSCI TRANSLAT EPIDEMIOL RES CENT,1,0.003
CLIN ESPECIALIDADES,1,0.003
CLIN GROSSHANSDORF,1,0.003
CLIN GYNECOL OBSTET NARODNI FRONT,1,0.003
CLIN HOSP CTR BEZANIJSKA KOSA,1,0.003
CLIN HOSP CTR DR DRAGISA MISOVIC DEDINJE,1,0.003
CLIN INTERNAL MED III,1,0.003
CLIN LAB CO LTD,1,0.003
CLIN MED CORE VITA,1,0.003
CLIN NUTR RES CTR,1,0.003
CLIN OUTCOMES SOLUT,1,0.003
CLIN PEDIAT 2,1,0.003
CLIN PHYSIOTHERAPIE MED SPORT,1,0.003
CLIN POPULAT HLTH RES PROGRAM,1,0.003
CLIN QUARTIER LATIN,1,0.003
CLIN RENAL DIS HYPERTENS CLINIR,1,0.003
CLIN RES FDN VALENCIA,1,0.003
CLIN RES LTD,1,0.003
CLIN RES PHARM COORDINATING CTR,1,0.003
CLIN RES SERV TURKU,1,0.003
CLIN SANTA CHIARA,1,0.003
CLIN SCI CTR,1,0.003
CLIN SPECIAL CHILDREN,1,0.003
CLIN SPECIALISEE ORTHOPEDIE REEDUCAT VICTIMES A,1,0.003
CLIN ST JOSEPH,1,0.003
CLIN TRANSLAT RES,1,0.003
CLIN TRANSLAT RES INST,1,0.003
CLIN TRANSLAT SCI INST,1,0.003
CLIN UNIV HOSP,1,0.003
CLIN VET AQUIVET,1,0.003
CLINICA ALEMANA,1,0.003
CLINICA LAS CONDES,1,0.003
CLINILAB,1,0.003
CLINILABS SLEEP DISORDERS INST,1,0.003
CLUB ALET RIVER PLATE,1,0.003
CM HOSP,1,0.003
CMHC,1,0.003
CMIC BRASIL PESQUISAS CLIN,1,0.003
CNIEL,1,0.003
CNPQ,1,0.003
CNR,1,0.003
CNRS INSTITUTE OF CHEMISTRY INC,1,0.003
CNRS INSTITUTE OF PHYSICS INP,1,0.003
CNRS NATIONAL INSTITUTE OF NUCLEAR AND PARTICLE PHYSICS IN2P3,1,0.003
COASTAL MED,1,0.003
COC VALEGGIO SM VR,1,0.003
COCHRANE BRAZIL,1,0.003
COCONINO CTY SHERIFFS OFF,1,0.003
CODA RES,1,0.003
CODA RES INC,1,0.003
CODMAN SQ HLTH CTR,1,0.003
COE COLL,1,0.003
COGNETTI DE MARTIIS UNIV TURIN,1,0.003
COGNIT SCI SOC,1,0.003
COGSTATE LTD,1,0.003
COLABORAC FED INT FDN RENALES,1,0.003
COLEGIO DE MEXICO,1,0.003
COLEGIO FRONTERA NORTE,1,0.003
COLEGIO OFICIAL FARMACEUT,1,0.003
COLEMAN SRL,1,0.003
COLGATE UNIVERSITY,1,0.003
COLIBRI LAW FIRM,1,0.003
COLL AGR,1,0.003
COLL AGR COIMBRA,1,0.003
COLL APPL HLTH SCI,1,0.003
COLL DENT,1,0.003
COLL DENT SCI,1,0.003
COLL DONGGUK UNIV,1,0.003
COLL HEALTHCARE MANAGEMENT,1,0.003
COLL HLTH MED SCI,1,0.003
COLL MED SAGAR DUTTA HOSP,1,0.003
COLL NURSING HLTH PROFESS,1,0.003
COLL NYIREGYHAZA,1,0.003
COLL PHARM,1,0.003
COLL SCI ARTS,1,0.003
COLL SCI HLTH ENGN,1,0.003
COLL ST CATHERINE,1,0.003
COLL ST ROSE,1,0.003
COLL TECH SCI,1,0.003
COLL VET MED,1,0.003
COLLABORAT HLTH ENVIRONM,1,0.003
COLLABORAT HLTH STUDIES COORDINATING CTR,1,0.003
COLLABORAT STUDIES COORDINAT CTR,1,0.003
COLLEGE OF STATEN ISLAND CUNY,1,0.003
COLLEGE OF WOOSTER,1,0.003
COLLINS COLLABORAT,1,0.003
COLORADO CARDIOVASC OUTCOMES RES CONSORTIUM,1,0.003
COLORADO DEPARTMENT OF PUBLIC HEALTH ENVIRONMENT,1,0.003
COLORADO DEPT HLTH,1,0.003
COLORADO HEART IMAGING,1,0.003
COLORADO HEART IMAGING INC,1,0.003
COLORADO RES PARTNERS LLC,1,0.003
COLUMBIA BASSETT PROGRAM,1,0.003
COLUMBIA POPULAT RES CTR,1,0.003
COLUMBIA UNIV COLL PHYS SURG,1,0.003
COLUMBUS GEMELLI UNIV HOSP CATHOLIC UNIV,1,0.003
COM PARALIMP CHILE,1,0.003
COMBINED MIL HOSP,1,0.003
COMBINED MIL HOSP CMH MALIR,1,0.003
COMBINED TRADIT CHINESE WESTERN MED HOSP HUBEI,1,0.003
COMM EFFECTS COMMUTING PILOT FATIGUE,1,0.003
COMMONWEALTH GRANTS COMMISS,1,0.003
COMMONWEALTH PUERTO RICO,1,0.003
COMMUNITY BUILDERS INC,1,0.003
COMMUNITY CAMPUS PARTNERSHIPS HLTH,1,0.003
COMMUNITY CLIN ONCOL PROGRAMS,1,0.003
COMMUNITY COLL RHODE ISL,1,0.003
COMMUNITY DIABET EDUC PROGRAM OTTAWA,1,0.003
COMMUNITY HLTH CENT WASHINGTON,1,0.003
COMMUNITY HLTH SERV CTR LIAOBU,1,0.003
COMMUNITY HLTH SOCIAL SERV CTR INC,1,0.003
COMMUNITY TRANSLAT RES INST,1,0.003
COMPETENCE CTR SYST PHYSIOL METAB DIS ZURICH,1,0.003
COMPLEJO ASISTENCIAL,1,0.003
COMPLEJO HOSP ARNULFO ARIAS MADRID,1,0.003
COMPLEJO HOSP MATERNOINSULAR GRAN CANARIA,1,0.003
COMPLEJO HOSP UNIV CARTAGENA,1,0.003
COMPLEJO HOSP UNIV FERROL CORUNA UNIV,1,0.003
COMPLEXE HOSP SAGAMIE,1,0.003
COMPLEXO HOSP NITEROI,1,0.003
COMPLEXO HOSPITALARIO UNIVERSITARIO DE VIGO,1,0.003
COMPREHENS ACCESS DELIVERY RES EVALUAT CTR,1,0.003
COMUNIDAD MADRID,1,0.003
CONCERTED CARE GRP,1,0.003
CONCORD UNIV,1,0.003
CONCORDIA UNIV,1,0.003
CONCUSS LEGACY FDN,1,0.003
CONE HLTH MED GRP,1,0.003
CONE HLTH MED GRP HEARTCARE,1,0.003
CONI,1,0.003
CONICYT,1,0.003
CONNECTICUT CHILDREN S MEDICAL CENTER,1,0.003
CONNECTICUT COLLEGE,1,0.003
CONNECTICUT DEPT ADDICT SERV,1,0.003
CONNECTICUT DEPT HLTH SERV,1,0.003
CONNECTICUT DEPT PUBL HLTH ADDICT SERV,1,0.003
CONNECTICUT HEALTHCARE SYST,1,0.003
CONNECTICUT VALLEY HOSP,1,0.003
CONNECTING HLTH INNOVAT,1,0.003
CONNOLLY HOSP,1,0.003
CONNOLLY HOSP BLANCHARDSTOWN,1,0.003
CONRESP,1,0.003
CONSEJERIA SALUD SERV SANIT,1,0.003
CONSEJERIA SALUD SERV SANIT ASTURIAS,1,0.003
CONSEJO NACL CIENCIA TECNOL CONACYT,1,0.003
CONSEJO SUPER DEPORTE,1,0.003
CONSIGLIO NAZL RIC IST BIOMED,1,0.003
CONSORCI HOSP DE LA CREU ROJA,1,0.003
CONSORCIO HOSP GEN UNIV VALENCIA,1,0.003
CONSORCIO HOSP GEN VALENCIA,1,0.003
CONSULTA PRIVADA,1,0.003
CONSULTANT INC,1,0.003
CONSULTING ACTUARY,1,0.003
CONSULTING CLIN BEIRUT,1,0.003
CONSULTORIO SAN FRANCISCO,1,0.003
CONTEMPORARY NUTR INC,1,0.003
CONTILIA KALP DAMAR MERKEZI ESSEN ELIZABETH HASTA,1,0.003
CONTRA COSTA HLTH SERV,1,0.003
CONTROL CTR,1,0.003
CONWAY REG MED CTR,1,0.003
COOK CTY CHILDRENS HOSP,1,0.003
COOK CTY DEPT PUBL HLTH,1,0.003
COOMBE WOMEN INFANTS UNIV HOSP,1,0.003
COOPER GREEN HOSP,1,0.003
COOPER GREEN MERCY HOSP,1,0.003
COOPERAT RES CTR ALERTNESS SAFETY PROD,1,0.003
COOPERAT RES CTR LIVING AUTISM AUTISM CRC,1,0.003
COOPERAT RES CTR MENTAL HLTH,1,0.003
COORDENACAO EPIDEMIOL INFORMACAO,1,0.003
COORDINATING CTR,1,0.003
COPELABS,1,0.003
COPENHAGEN GEN POPULAT STUDY,1,0.003
COPENHAGEN HEART ARRHYTHMIA RES CTR,1,0.003
COPT HOSP,1,0.003
CORK UNIV MATERN HOSP,1,0.003
CORNELL TECH,1,0.003
CORONARY ARTERY DIS ASIAN INDIANS CADI RES FDN,1,0.003
CORONARY ARTERY RISK DEV YOUNG ADULTS STUDY COORDI,1,0.003
CORP NATL COMMUNITY SERV,1,0.003
CORPORAL MICHAEL CRESCENZ VET AFFAIRS MED CTR,1,0.003
CORPUS CHRISTI MED CTR,1,0.003
CORRECT SERV NEW SOUTH WALES,1,0.003
CORREO CENT,1,0.003
COSMET INGREDIENT REV,1,0.003
COSTA DEL SOL HOSP,1,0.003
COSTA PONENT CATALAN INST HLTH,1,0.003
COSTA RICAN INST RES EDUC NUTR HLTH INCIENSA,1,0.003
COUNCIL AFRICAN AMER AFFAIRS,1,0.003
COUNCIL CLIN CARDIOL,1,0.003
COUNCIL HLTH,1,0.003
COUNCIL MED SPECIALTY SOC,1,0.003
COUNCIL NUTR ENVIRONM MED,1,0.003
COUNCIL QUAL LEADERSHIP,1,0.003
COUNTERPOINT HLTH SOLUT INC,1,0.003
COUNTESS CHESTER HOSP,1,0.003
COVANCE,1,0.003
COVENTRY WARWICKSHIRE NHS TRUST,1,0.003
COWLITZ FAMILY HLTH CTR,1,0.003
COX ASSOCIATES,1,0.003
CPAM,1,0.003
CPE BOLA AZUL,1,0.003
CPUT,1,0.003
CPWR CTR CONSTRUCT RES TRAINING,1,0.003
CRAFT TECHNOL INC,1,0.003
CRCHUM UNIV MONTREAL HOSP RES CTR,1,0.003
CREATINE KINASE FDN AMSTERDAM,1,0.003
CREMONA HOSP,1,0.003
CRESP,1,0.003
CRIBI BIOTECHNOL CTR,1,0.003
CRIMINOL RES INST LOWER SAXONY,1,0.003
CRIR MAB MACKAY REHABIL CTR,1,0.003
CROATIAN ACAD SCI ARTS BOSNIA HERZEGOVINA,1,0.003
CROATIAN ACADEMY OF SCIENCES ARTS,1,0.003
CROATIAN DEF ACAD PETAR ZRINSKI,1,0.003
CROI,1,0.003
CROYDON PRIMARY CARE TRUST,1,0.003
CROYDON UNIVERSITY HOSPITAL,1,0.003
CRS,1,0.003
CRUK CAMBRIDGE INSTITUTE,1,0.003
CRY CTR SPORTS CARDIOL,1,0.003
CSCC,1,0.003
CSIC CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA CBM,1,0.003
CSIC CENTRO DE INVESTIGACIONES BIOLOGICAS CIB,1,0.003
CSIC INSTITUTO DE DIAGNOSTICO AMBIENTAL Y ESTUDIOS DEL AGUA IDAEA,1,0.003
CSIC INSTITUTO DE INVESTIGACIONES BIOMEDICAS ALBERTO SOLS IIBM,1,0.003
CSIC UPF INSTITUT DE BIOLOGIA EVOLUTIVA IBE,1,0.003
CSIR CENTRAL SALT MARINE CHEMICAL RESEARCH INSTITUTE CSMCRI,1,0.003
CSIR INDIAN INSTITUTE OF TOXICOLOGY RESEARCH IITR,1,0.003
CSIR INSTITUTE OF MICROBIAL TECHNOLOGY IMTECH,1,0.003
CSIR NATIONAL INSTITUTE INTERDISCIPLINARY SCIENCE TECHNOLOGY NIIST,1,0.003
CSM MED UNIV LUCKNOW,1,0.003
CSP,1,0.003
CSPH,1,0.003
CSPO,1,0.003
CSS SCI INST,1,0.003
CSSS VIEILLE CAPITALE,1,0.003
CSULB,1,0.003
CTI CLINICAL TRIAL CONSULTING SERV INC,1,0.003
CTR ADULT DIS,1,0.003
CTR ADV MED PHARMACEUT RES TIRGU MURES,1,0.003
CTR AMER PROGRESS,1,0.003
CTR ANTIDIABET ESTE MESTRE,1,0.003
CTR ARTISTRY SCHOLARSHIP,1,0.003
CTR ATENCIO PRIMARIA LLORET,1,0.003
CTR ATHEROSCLEROSIS,1,0.003
CTR BEHAV BRAIN SCI,1,0.003
CTR BIOL E,1,0.003
CTR BIOL EST,1,0.003
CTR BIOMATH TECHNOL,1,0.003
CTR BIOMED ENGN,1,0.003
CTR BIOSTAT AIDS RES,1,0.003
CTR BOT LIPIDS,1,0.003
CTR CANC PREVENT CPO PIEMONTE,1,0.003
CTR CANC PREVENT CPOPIEMONTE,1,0.003
CTR CANC PREVENT PIEMONTE,1,0.003
CTR CARDIAC PULM REHABIL,1,0.003
CTR CARDIOTHORAC,1,0.003
CTR CARDIOVASC GENET,1,0.003
CTR CARDIOVASC HLTH,1,0.003
CTR CARDIOVASC METAB RES CARDIOMET,1,0.003
