Funding_Agencies,records,percent_of_total
FUNDACION MAPFRE UNDER GRANT HERNANDO DE LARRAMENDI CALL,1,0.003
FUNDACION PARA LA INVESTIGACIO N NUTRICIONAL,1,0.003
FUNDACION PARA LA INVESTIGACION SANITARIA HEALTH RESEARCH FOUNDATION IN CASTILLA LA MANCHA SPAIN FISCAM,1,0.003
FUNDACION RAMON ARECES,1,0.003
FUNDACION SENECA REGIONAL AGENCY FOR SCIENCE AND TECHNOLOGY OF THE MURCIA REGION,1,0.003
FUNDACION SOCIEDAD ESPANOLA ENDOCRINOLOGIA Y NUTRICION,1,0.003
FUNDACION SOCIEDAD ESPANOLA ENDOCRINOLOGIA Y NUTRICION FSEEN,1,0.003
FUNDACITE ZULIA,1,0.003
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,0.003
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY WUHAN CHINA,1,0.003
FUNDAMENTAL RESEARCH GRANTS SCHEME UNIVERSITI PUTRA MALAYSIA UPM SERDANG SELANGOR MALAYSIA,1,0.003
FUNDAMENTEEL KLINISCH NAVORSERSCHAP FWO VLAANDEREN,1,0.003
FUNDAQAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO JCNE FAPERJ,1,0.003
FUNDATION SIMONE AND PIERRE CLERDENT,1,0.003
FUNDCAO DE AMPARO A PESQUISA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,1,0.003
FUNDING PROJECT FOR BEIJING MUNICIPAL NATURAL SCIENCE FOUNDATION,1,0.003
FUNDO DE INCENTIVO A PESQUISA E EVENTOS FIFE AT HOSPITAL DE CLINICAS DE PORTO ALEGRE,1,0.003
FUNDO DE INCENTIVO A PESQUISA E EVENTOS FIPE AT HOSPITAL DE CLINICAS DE PORTO ALEGRE,1,0.003
FUNDO DE INCENTIVO A PESQUISA E EVENTOS FIPE AT THE HOSPITAL DE CLINICAS DE PORTO ALEGRE,1,0.003
FUNDO DE PESQUISA DO HOSPITAL DE CLINICAS DE PORTO ALEGRE FIPE HCPA,1,0.003
FUNDS FOR CARDIOVASCULAR AND MEDICAL RESEARCH AT ST OLAV S UNIVERSITY HOSPITAL TRONDHEIM,1,0.003
FUNDS FOR SCIENCE FROM THE POLISH MINISTRY OF SCIENCE AND HIGHER EDUCATION,1,0.003
FUNDS FOR SCIENTIFIC RESEARCH FLANDERS FONDS VOOR WETENSCHAPPELIJK ONDERZOEK VLAANDEREN,1,0.003
FURMAN UNIVERSITY,1,0.003
FUSE THE CENTRE FOR TRANSLATIONAL RESEARCH IN PUBLIC HEALTH,1,0.003
FUSE THE UK CLINICAL RESEARCH COLLABORATION CENTRE OF EXCELLENCE FOR TRANSLATIONAL RESEARCH IN PUBLIC HEALTH,1,0.003
FUTURE LEADER FELLOWSHIP,1,0.003
FUTURE LEADERS FELLOWSHIP,1,0.003
FUTURE LEADERS OF AGING RESEARCH IN EUROPE FLARE,1,0.003
FUTURE OCCUPATIONAL HEALTH SERVICES FAS FORTE,1,0.003
FUTURUM,1,0.003
FWO LEVENSLIJN PROJECT,1,0.003
FWO ODYSSEUS EXCELLENCE PROGRAM,1,0.003
G HAROLD AND LEILA Y MATHERS CHARITABLE FOUNDATION,1,0.003
G6TEBORG MEDICAL SOCIETY,1,0.003
GA2LEN PROJECT,1,0.003
GABA SWITZERLAND,1,0.003
GALENICA,1,0.003
GALLETAS SIRO VENTA DE BANOS PALENCIA SPAIN,1,0.003
GAMBLE,1,0.003
GAMBRO IN NORWAY,1,0.003
GAMIDA CELL LTD,1,0.003
GAMIDA CELL TEVA JOINT VENTURE LTD,1,0.003
GAMLA TJANNARINNOR FOUNDATION,1,0.003
GANI MED,1,0.003
GANI MED CONSORTIUM,1,0.003
GAOFENG GAOYUAN PROGRAM FOR CLINICAL SCIENTISTS FROM SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,1,0.003
GARDA SIOCHANA INSPECTORATE,1,0.003
GARFIELD MEMORIAL RESEARCH FUND,1,0.003
GARFIELD WESTON TRUST,1,0.003
GARNET COLLABORATIVE RESEARCH GROUP,1,0.003
GARRISON FAMILY FOUNDATION,1,0.003
GARRON FAMILY CANCER CENTRE AT THE HOSPITAL FOR SICK CHILDREN ONTARIO INSTITUTE FOR CANCER RESEARCH OICR,1,0.003
GARRY AND MARY WESTON FOUNDATION,1,0.003
GARTSHORE MEMORIAL SHEEP RESEARCH FUND,1,0.003
GARVAN RESEARCH FOUNDATION,1,0.003
GARY HUNT FAMILY CHAIR IN GERIATRIC MEDICINE UNIVERSITY OF TORONTO,1,0.003
GAXOSMITHKLINE,1,0.003
GAZIANTEP UNIVERSITY,1,0.003
GB SPANISH MINISTRY OF HEALTH,1,0.003
GBHI,1,0.003
GCRC GRANT,1,0.003
GCRC GRANT FROM THE NATIONAL CENTER FOR RESEARCH RESOURCES,1,0.003
GCRC LABORATORY AT UCSF,1,0.003
GCRC NIH GRANT M01,1,0.003
GCRCS PROGRAM OF THE NATIONAL CENTER FOR RESEARCH RESOURCES NATIONAL INSTITUTES OF HEALTH,1,0.003
GDC ALIMENTOS S A,1,0.003
GE CORPORATE HEALTHCARE,1,0.003
GEELONG COMMUNITY FOUNDATION AUSTRALIA,1,0.003
GEELONG MEDICAL RESEARCH FOUNDATION,1,0.003
GEESTELIJKE GEZONDHEIDSZORG DRENTHE,1,0.003
GEESTELIJKE GEZONDHEIDSZORG FRIESLAND,1,0.003
GEESTELIJKE GEZONDHEIDSZORG RIVIERDUINEN,1,0.003
GEESTKRACHT PROGRAM OF THE DUTCH HEALTH RESEARCH COUNCIL ZON MW,1,0.003
GEESTKRACHT PROGRAMME OF THE NETHERLANDS ORGANISATION FOR HEALTH RESEARCH AND DEVELOPMENT ZON MW,1,0.003
GEIFSWALD APPROACH TO INDIVIDUALIZED MEDICINE,1,0.003
GEISINGER HEALTH SYSTEM,1,0.003
GENDER EQUALITY ACTION PLAN OF THE UNIVERSITY OF ZURICH FILLING THE GAP,1,0.003
GENDER EQUITY AWARD BAKER HEART AND DIABETES INSTITUTE,1,0.003
GENE ENVIRONMENT ASSOCIATION STUDIES GENEVA PROJECT UNDER THE NIH GENES ENVIRONMENT AND HEALTH INITIATIVE,1,0.003
GENE ENVIRONMENT ASSOCIATION STUDIES GENEVA THROUGH NATIONAL HUMAN GENOME RESEARCH INSTITUTE,1,0.003
GENEDX,1,0.003
GENEDX LABORATORIES GAITHERSBURG MARYLAND UNITED STATES OF AMERICA,1,0.003
GENERAL ADMINISTRATION OF SPORT OF CHINA,1,0.003
GENERAL CLINIC RESEARCH CENTER GRANT FROM THE NIH,1,0.003
GENERAL CLINICAL CENTER,1,0.003
GENERAL CLINICAL RESEARCH CENTER GEORGETOWN,1,0.003
GENERAL CLINICAL RESEARCH CENTER GRANTS FROM THE NATIONAL CENTER FOR RESEARCH RESOURCES,1,0.003
GENERAL CLINICAL RESEARCH CENTER NIH NCRR GCRC AT THE UNIVERSITY OF PITTSBURGH,1,0.003
GENERAL CLINICAL RESEARCH CENTER OF THE WFSM,1,0.003
GENERAL CLINICAL RESEARCH CENTER OF THE WFSM GRANT,1,0.003
GENERAL CLINICAL RESEARCH CENTER UCLA,1,0.003
GENERAL CLINICAL RESEARCH CENTERS PROGRAM OF THE NATIONAL CENTER FOR RESEARCH RESOURCES NCRR,1,0.003
GENERAL DIRECTORATE FOR ARMAMENT DGA MINISTRY OF DEFENSE,1,0.003
GENERAL ELECTRIC,1,0.003
GENERAL ELECTRIC MILWAUKEE WISCONSIN,1,0.003
GENERAL ELECTRICS HEALTHCARE,1,0.003
GENERAL FACILITY PROJECT,1,0.003
GENERAL FINANCIAL GRANT FROM THE CHINA POSTDOCTORAL SCIENCE FOUNDATION,1,0.003
GENERAL MILLS BELL INSTITUTE FOR HEALTH AND NUTRITION,1,0.003
GENERAL MILLS BELL INSTITUTE OF HEALTH AND NUTRITION MINNEAPOLIS MN,1,0.003
GENERAL MILLS BELL INSTITUTE OF HEALTH AND NUTRITION MINNEAPOLIS MN USA,1,0.003
GENERAL MILLS BELL INSTITUTE OF HEALTH AND NUTRITION TO THE UNIVERSITY OF WASHINGTON,1,0.003
GENERAL MOTORS,1,0.003
GENERAL RESEARCH PROGRAM FOR MEDICAL AND HEALTH OF ZHEJIANG PROVINCE OF CHINA,1,0.003
GENERAL SECRETARIAT OF CONSUMERS GREEK MINISTRY OF DEVELOPMENT,1,0.003
GENERALE DE LA SANTE,1,0.003
GENERALITAT DE CATALUNYA SPAIN AGAUR,1,0.003
GENESEE COUNTY HEALTH DEPARTMENT,1,0.003
GENESIS RESEARCH TRUST UK,1,0.003
GENETIC AND ENVIRONMENTAL DETERMINANTS OF TRIGLYCERIDES,1,0.003
GENETIC EPIDEMIOLOGY OF CALICO PROGRAM THROUGH NHGRI PAGE PROGRAM,1,0.003
GENETIC EPIDEMIOLOGY OF CAUSAL VARIANTS ACROSS THE LIFE COURSE CALICO,1,0.003
GENETIC EPIDEMIOLOGY OF CAUSAL VARIANTS ACROSS THE LIFE COURSE CALICO PROGRAM THROUGH THE NHGRI PAGE PROGRAM,1,0.003
GENETIC EPIDEMIOLOGY OF HEART LUNG AND BLOOD TRAITS TRAINING GRANT,1,0.003
GENETIC EPIDEMIOLOGY OF HEART LUNG AND BLOOD TRAITS TRAINING GRANT GENHLB,1,0.003
GENEVA UNIVERSITY HOSPITALS RESEARCH AND DEVELOPMENT FUND,1,0.003
GENEVA UNIVERSITY HOSPITALS THROUGH THE GENERAL DIRECTORATE OF HEALTH CANTON OF GENEVA,1,0.003
GENMED LABEX,1,0.003
GENNET,1,0.003
GENOA,1,0.003
GENOMA ESPANA,1,0.003
GENOMAS,1,0.003
GENOME QUEBEC,1,0.003
GENOME QUEBEC AND GENOME CANADA,1,0.003
GENOMEUTWIN,1,0.003
GENOMICS AND CHRONIC DISEASE PREVENTION,1,0.003
GENTIAN,1,0.003
GENTIUM SPA,1,0.003
GENUINE HEALTH INC TORONTO ON CANADA,1,0.003
GENUINE HEALTH TORONTO ON CANADA,1,0.003
GENYZME,1,0.003
GENZYME BIOTECHNOLOGY PI,1,0.003
GEOFFREY GARDINER DAIRY FOUNDATION,1,0.003
GEOHEALTH LABORATORY NEW ZEALAND MINISTRY OF HEALTH,1,0.003
GEOHEALTH LABORATORY UNIVERSITY OF CANTERBURY,1,0.003
GEORGE AND MARY JOSEPHINE HAMMAN FOUNDATION,1,0.003
GEORGE D BEHRAKIS FOUNDATION,1,0.003
GEORGE D BEHRAKIS FOUNDATION THROUGH THE HEART PROJECT HELLENIC ACTION FOR RESEARCH AGAINST TOBACCO,1,0.003
GEORGE D BEHRAKIS RESEARCH FELLOWSHIP PROGRAM,1,0.003
GEORGE F SOLOMON ENDOWED TERM CHAIR IN PSYCHOBIOLOGY COUSINS CENTER FOR PSYCHONEUROIMMUNOLOGY UCLA SEMEL INSTITUTE,1,0.003
GEORGE INSTITUTE,1,0.003
GEORGE KAISER FAMILY FOUNDATION,1,0.003
GEORGE M EISENBERG FOUNDATION,1,0.003
GEORGE M O BRIEN CENTER FOR KIDNEY RESEARCH PILOT AND FEASIBILITY GRANT FROM YALE UNIVERSITY,1,0.003
GEORGE MASON UNIVERSITY PROVOST S MULTIDISCIPLINARY RESEARCH INITIATIVE,1,0.003
GEORGE ROSENKRANZ PRIZE FOR HEALTH CARE RESEARCH IN DEVELOPING COUNTRIES,1,0.003
GEORGETOWN HOWARD UNIVERSITIES CENTER FOR CLINICAL TRANSLATIONAL SCIENCE,1,0.003
GEORGIA CANCER COALITION,1,0.003
GEORGIA CANCER COALITION DISTINGUISHED SCHOLAR AWARD,1,0.003
GEORGIA CLINICAL AND TRANSLATIONAL SCIENCE ALLIANCE,1,0.003
GEORGIA HOLLAND ENDOWMENT FUND,1,0.003
GEORGIA SOUTHERN UNIVERSITY,1,0.003
GEORGIA SOUTHERN UNIVERSITY RESEARCH FOUNDATION,1,0.003
GEORGIA STATE UNIVERSITY COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,1,0.003
GEORGIA STATE UNIVERSITY S UNIVERSITY RESEARCH SERVICES ADMINISTRATION CLEON C ARRINGTON RESEARCH INITIATION GRANT PROGRAM,1,0.003
GERALD CHOA CARDIAC RESEARCH CENTRE,1,0.003
GERASH UNIVERSITY OF MEDICAL SCIENCES GERASH IRAN,1,0.003
GERBEX BOURGET FOUNDATION,1,0.003
GERDA AND AAGE HAENSCH S FOND,1,0.003
GERDA OG AAGE HAENSCHS FOND,1,0.003
GERIATRIC RESEARCH AND EDUCATION CLINICAL CENTER BALTIMORE VETERANS ADMINISTRATION MEDICAL CENTER,1,0.003
GERIATRIC RESEARCH EDUCATION AND CLINICAL CENTER OF THE WILLIAM S MIDDLETON MEMORIAL VETERANS HOSPITAL MADISON WI,1,0.003
GERIATRIC RESEARCH EDUCATION AND CLINICAL CENTER OF THE WILLIAM S MIDDLETON MEMORIAL VETERANS HOSPITAL MADISON WI USA,1,0.003
GERMAN ASTHMA AND COPD NETWORK BMBP,1,0.003
GERMAN ASTHMA AND COPD NETWORK COSYCONET,1,0.003
GERMAN CANCER AID GERMAN CANCER RESEARCH CENTER,1,0.003
GERMAN CANCER RESEARCH CENTE,1,0.003
GERMAN CANCER RESEARCH CENTER,1,0.003
GERMAN CANCER RESEARCH CENTER DIVISION OF CANCER EPIDEMIOLOGY,1,0.003
GERMAN CANCER RESEARCH CENTER GERMANY,1,0.003
GERMAN CANCER RESEARCH CENTRE,1,0.003
GERMAN CENTER FOR CARDIOVASCULAR RESEARCH,1,0.003
GERMAN CENTER FOR CARDIOVASCULAR RESEARCH DEUTSCHES ZENTRUM FUR HERZ KREISLAUF FORSCHUNG DZHK,1,0.003
GERMAN CENTER FOR CARDIOVASCULAR RESEARCH DZHK,1,0.003
GERMAN CENTER FOR CARDIOVASCULAR RESEARCH DZHK E V,1,0.003
GERMAN CENTRE FOR CARDIOVASCULAR DISEASE RESEARCH DZHK BERLIN GERMANY,1,0.003
GERMAN CENTRE FOR CARDIOVASCULAR RESEARCH DEUTSCHES ZENTRUM FUR HERZ KREISLAUF FORSCHUNG E V DZHK,1,0.003
GERMAN CENTRE FOR CARDIOVASCULAR RESEARCH DZHK,1,0.003
GERMAN CENTRE FOR DIABETES RESEARCH DZD NEUHERBERG GERMANY,1,0.003
GERMAN CHILDHOOD CANCER FOUNDATION BONN GERMANY,1,0.003
GERMAN COMPETENCE NET OBESITY FUND,1,0.003
GERMAN COMPETENCE NETWORK HEART FAILURE KOMPETENZNETZ HERZINSUFFIZIENZ,1,0.003
GERMAN DIABETES ASSOCIATION DDG,1,0.003
GERMAN DIABETES CENTER DDZ,1,0.003
GERMAN DIABETES FOUNDATION DDS,1,0.003
GERMAN FEDERAL EMPLOYMENT AGENCY,1,0.003
GERMAN FEDERAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH,1,0.003
GERMAN FEDERAL INSTITUTE OF SPORT SCIENCE,1,0.003
GERMAN FEDERAL MINISTRY FOR FAMILY SENIOR CITIZENS WOMEN AND YOUTH,1,0.003
GERMAN FEDERAL MINISTRY FOR THE ENVIRONMENT NATURE CONSERVATION AND NUCLEAR SAFETY,1,0.003
GERMAN FEDERAL MINISTRY OF ECONOMICS AND ENERGY,1,0.003
GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH BERLIN,1,0.003
GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH NUTRICARD PROJECT,1,0.003
GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH VIRTUAL LIVER,1,0.003
GERMAN FEDERAL MINISTRY OF EDUCATION SCIENCE RESEARCH AND TECHNOLOGY GERMANY,1,0.003
GERMAN FEDERAL MINISTRY OF FAMILY SENIOR CITIZENS WOMEN AND YOUTH,1,0.003
GERMAN FEDERAL MINISTRY OF FOOD AGRICULTURE AND CONSUMER PROTECTION THROUGH THE FEDERAL OFFICE FOR AGRICULTURE AND FOOD,1,0.003
GERMAN FEDERAL MINISTRY OF HEALTH AND SOCIAL SECURITY,1,0.003
GERMAN FEDERAL MINISTRY OF HEALTH BERLIN GERMANY,1,0.003
GERMAN FEDERAL MINISTRY OF HEALTH GERMANY,1,0.003
GERMAN FEDERAL MINISTRY OF SCIENCE AND EDUCATION THROUGH THE NATIONAL GENOME RESEARCH NETWORK,1,0.003
GERMAN FEDERAL MINISTRY OF SCIENCE AND RESEARCH BERLIN GERMANY,1,0.003
GERMAN HEART FOUNDATION,1,0.003
GERMAN HEART FOUNDATION GERMAN FOUNDATION OF HEART RESEARCH,1,0.003
GERMAN INSURANCE COMPANY SVLFG,1,0.003
GERMAN ISRAELI FOUNDATION FOR SCIENTIFIC RESEARCH AND DEVELOPMENT,1,0.003
GERMAN MINISTRY FOR ECONOMY AND LABOUR,1,0.003
GERMAN MINISTRY FOR EDUCATION AND RESEARCH CAPSYS,1,0.003
GERMAN MINISTRY FOR EDUCATION RESEARCH AND CULTURAL AFFAIRS,1,0.003
GERMAN MINISTRY OF EDUCATION AND RESEARCH BUNDESMINISTERIUM FUR BILDUNG UND FORSCHUNG OBESITY NETWORK,1,0.003
GERMAN MINISTRY OF HEALTH BMG,1,0.003
GERMAN MINISTRY OF LABOUR AND SOCIAL AFFAIRS,1,0.003
GERMAN MINISTRY OF RESEARCH AND EDUCATION WITHIN THE COMPREHENSIVE HEART FAILURE CENTER WURZBURG,1,0.003
GERMAN MINISTRY OF SCIENCE AND TECHNOLOGY,1,0.003
GERMAN NATIONAL GENOME RESEARCH,1,0.003
GERMAN NATIONAL GENOME RESEARCH NET,1,0.003
GERMAN NATIONAL GENOME RESEARCH NETWORK,1,0.003
GERMAN PEDIATRIC DIABETES ASSOCIATION AGPD,1,0.003
GERMAN PENSION FUND DEUTSCHE RENTENVERSICHERUNG BADEN WURTTEMBERG UND DEUTSCHE RENTENVERSICHERUNG BUND,1,0.003
GERMAN RESEARCH COUNCIL ASSESSMENT,1,0.003
GERMAN RESEARCH FOUNDATION DFG WITHIN DFG RESEARCH GROUP 1369 SULFATED STEROIDS IN REPRODUCTION SUBPROJECT 7 LC MS MS AND GC MS MS BASED STEROIDOMICS,1,0.003
GERMAN RESEARCH FOUNDATION FROM THE GERMAN DIABETES CENTER,1,0.003
GERMAN RESEARCH FOUNDATION IN THE FRAMEWORK OF THE PROGRAM OPEN ACCESS PUBLISHING,1,0.003
GERMAN SCIENCE FOUNDATION THE COLLABORATIVE RESEARCH CENTRE CRC,1,0.003
GERMAN SOCIAL ACCIDENT INSURANCE,1,0.003
GERMAN SOCIAL ACCIDENT INSURANCE GERMANY,1,0.003
GERMAN SOCIETY FOR ADVANCEMENT OF SCIENTIFIC RESEARCH,1,0.003
GERMAN STIFTERVERBAND FUR DIE WISSENSCHAFT,1,0.003
GERMANY PROJECT MANAGEMENT AGENCY IN THE GERMAN AEROSPACE CENTRE PT DLR,1,0.003
GERSON LERMAN GROUP COUNCIL OF HEALTHCARE ADVISORS,1,0.003
GESELLSCHAFT VON FREUNDEN UND FORDERERN DER HEINRICH HEINE UNIVERSITAT DUSSELDORF E V,1,0.003
GEULA CHARITABLE TRUST NEW YORK,1,0.003
GEYLANG EAST HOME FOR THE AGED,1,0.003
GGNET,1,0.003
GGZ DE GROTE RIVIEREN,1,0.003
GGZ EINDHOVEN,1,0.003
GGZ MIDDEN BRABANT,1,0.003
GGZ NIJMEGEN,1,0.003
GGZ NOORD HOLLAND NOORD,1,0.003
GGZ NOORD MIDDEN LIMBURG,1,0.003
GGZ OOST BRABANT,1,0.003
GGZ OVERPELT,1,0.003
GGZ RIVIERDUINEN UNIVERSITY MEDICAL CENTER GRONINGEN,1,0.003
GHENT UNIVERSITY,1,0.003
GIFT OF LIFE FOUNDATION,1,0.003
GILEAD FELLOWSHIP PROGRAM SPAIN,1,0.003
GILEAD PULMONARY ARTERIAL HYPERTENSION SCHOLARS AWARD PROGRAM,1,0.003
GILEAD SCIENCES RESEARCH PROGRAM IN PULMONARY ARTERIAL HYPERTENSION,1,0.003
GILLINGS DISSERTATION AWARD FROM UNC GILLINGS SCHOOL OF GLOBAL PUBLIC HEALTH,1,0.003
GILLINGS FAMILY FOUNDATION NIH,1,0.003
GILLSON LONGENBAUGH FOUNDATION,1,0.003
GINLING COLLEGE NANJING NORMAL UNIVERSITY,1,0.003
GIVEN,1,0.003
GLADYS M BRAWN CAREER DEVELOPMENT FELLOWSHIP,1,0.003
GLASGOW CENTRE FOR POPULATION HEALTH,1,0.003
GLASGOW HOUSING ASSOCIATION WHEATLEY GROUP,1,0.003
GLASGOW ROYAL INFIRMARY RESEARCH ENDOWMENTS TRUST GRANT,1,0.003
GLAXO CLINICAL RESEARCH ENDOWMENT,1,0.003
GLAXO FRANCE,1,0.003
GLAXO SMITH KLINE MODEST AND FOREST MODEST,1,0.003
GLAXOSMITHKLINE AFRICA NONCOMMUNICABLE DISEASE OPEN LAB,1,0.003
GLAXOSMITHKLINE CANADA LTD,1,0.003
GLAXOSMITHKLINE HEALTHCARE GMBH,1,0.003
GLC WRITING AWARD AT THE UNIVERSITY OF MICHIGAN SCHOOL OF SOCIAL WORK,1,0.003
GLENN AFAR POSTDOCTORAL FELLOWSHIP PROGRAM FOR TRANSLATIONAL RESEARCH ON AGING,1,0.003
GLENN CENTER FOR THE BIOLOGY OF HUMAN AGING,1,0.003
GLENN FOUNDATION CUBE AWARD,1,0.003
GLENN FOUNDATION FOR MEDICAL RESEARCH,1,0.003
GLOBAL ALLERGY AND ASTHMA EUROPEAN NETWORK,1,0.003
GLOBAL BRAIN HEALTH INSTITUTE GBHI,1,0.003
GLOBAL CENTURY CENTER OF EXCELLENCE COE PROGRAM OF THE JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE,1,0.003
GLOBAL COB PROGRAM,1,0.003
GLOBAL COE PROGRAM OF THE CENTER OF EXCELLENCE FOR INNOVATION IN HUMAN HEALTH SCIENCES FROM THE MINISTRY OF EDUCATION CULTURE SPORTS SCIENCE AND TECHNOLOGY OF JAPAN,1,0.003
GLOBAL COE PROGRAM SPORT SCIENCE FOR THE PROMOTION OF ACTIVE LIFE,1,0.003
GLOBAL DAIRY PLATFORM,1,0.003
GLOBAL DAIRY PLATFORM FOR META ANALYSES ON CHEESE AND BLOOD LIPIDS,1,0.003
GLOBAL GROUND SUPPORT,1,0.003
GLOBAL HEALTH LEADERSHIP AWARD,1,0.003
GLOBAL HEALTHCARE INDUSTRY RIS CENTER MINISTRY OF KNOWLEDGE ECONOMY,1,0.003
GLOBAL INNOVATION INITIATIVE,1,0.003
GLOBAL KOREAN NURSING FOUNDATION IN USA,1,0.003
GLOBAL KOREAN NURSING FOUNDATION USA,1,0.003
GLOBAL NUTRITION R D INGREDION INCORPORATED BRIDGEWATER NJ,1,0.003
GLOBAL OBESITY PREVENTION CENTER,1,0.003
GLOBAL OBESITY PREVENTION CENTER AT JOHNS HOPKINS UNIVERSITY,1,0.003
GLOBAL OBESITY PREVENTION CENTER AT THE JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH,1,0.003
GLOBAL OBESITY PREVENTION CENTER GOPC,1,0.003
GLOBAL OBESITY PREVENTION CENTER GOPC AT JOHNS HOPKINS,1,0.003
GLOBAL RESEARCH AWARDS FOR NICOTINE DEPENDENCE GRAND,1,0.003
GLOBAL RESEARCH NETWORK GRN PROGRAM NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY,1,0.003
GLOBAL UNIVERSITY PROJECT FROM THE JAPAN SCIENCE AND TECHNOLOGY AGENCY,1,0.003
GLORNEY RAISBECK RESEARCH FELLOWSHIP NEW YORK NY USA,1,0.003
GLUMETRICS,1,0.003
GM FOUNDATION,1,0.003
GME,1,0.003
GOBIERNO DE ARAGON,1,0.003
GOBIERNO DE ESPANA,1,0.003
GOCHANG REGIONAL RESEARCH INSTITUTE MINISTRY OF TRADE INDUSTRY AND ENERGY SOUTH KOREA,1,0.003
GOH FOUNDATION,1,0.003
GOLDEN CASKET FUNDING ROUND MATER HEALTH SERVICES,1,0.003
GOLDEN FAMILY FOUNDATION,1,0.003
GOLDFINCH BIO,1,0.003
GONOSHASTHAYA SAMAJ VITTIK MEDICAL COLLEGE GONO UNIVERSITY SAVAR DHAKA BANGLADESH,1,0.003
GONZALO RIO ARRONTE FOUNDATION,1,0.003
GOOD NATURE INSTITUTE,1,0.003
GOOD SAMARITAN FOUNDATION,1,0.003
GOOGLE,1,0.003
GOOGLE INC,1,0.003
GORDON A CAIN CHAIR IN NEPHROLOGY AT BAYLOR COLLEGE OF MEDICINE,1,0.003
GORDON AND BETTY MOORE FOUNDATION,1,0.003
GORDON EDWARD SMALL CHARITABLE TRUST,1,0.003
GORDON EDWARD SMALL S CHARITABLE TRUST SCOTTISH CHARITY,1,0.003
GOTEBORG MEDICAL SOCIETY,1,0.003
GOTEBORG S ASSOCIATION AGAINST RHEUMATISM,1,0.003
GOTHENBURG UNIVERSITY,1,0.003
GOVERNMENT BUDGET AND RATCHADAPISEKSOMPOTCH FUND FACULTY OF MEDICINE CHULALONGKORN UNIVERSITY,1,0.003
GOVERNMENT MINISTRY OF HEALTH AND MINISTRY OF RESEARCH,1,0.003
GOVERNMENT OF ALBERTA CANADA,1,0.003
GOVERNMENT OF CANADA FEDERAL PROGRAM FOR INTERNATIONAL POLAR YEAR,1,0.003
GOVERNMENT OF CANADA RESEARCH CHAIR IN THE OPTIMAL CARE OF PEOPLE WITH CKD,1,0.003
GOVERNMENT OF CANADA THROUGH THE CANADA RESEARCH CHAIR ENDOWMENT,1,0.003
GOVERNMENT OF FRENCH POLYNESIA,1,0.003
GOVERNMENT OF INDIA S GOI DEPARTMENT OF BIOTECHNOLOGY DBT,1,0.003
GOVERNMENT OF IRELAND FROM IRISH RESEARCH COUNCIL FOR THE HUMANITIES AND SOCIAL SCIENCES IRCHSS,1,0.003
GOVERNMENT OF MALAYSIA VIA THE MALAYSIAN PALM OIL BOARD,1,0.003
GOVERNMENT OF NUNAVUT DEPARTMENT OF HEALTH AND SOCIAL SERVICES,1,0.003
GOVERNMENT OF ONTARIO,1,0.003
GOVERNMENT OF THE HONG KONG SPECIAL ADMINISTRATIVE REGION,1,0.003
GOVERNMENT OF THE NORTHWEST TERRITORIES,1,0.003
GOVERNMENT OF THE NORTHWEST TERRITORIES DEPARTMENT OF HEALTH AND SOCIAL SERVICES,1,0.003
GOVERNMENT OF THE PRINCIPALITY OF ASTURIAS,1,0.003
GOVERNMENT OF THE REPUBLIC OF KAZAKHSTAN,1,0.003
GOVERNMENT OF THE RUSSIAN FEDERATION,1,0.003
GOVERNMENT OF THE STATE OF VORARLBERG AUSTRIA,1,0.003
GOVERNMENT OF WESTERN AUSTRALIA OFFICE OF SCIENCE DEPARTMENT OF HEALTH,1,0.003
GOVERNMENTAL AGENCY BIC CNPQ UFRGS,1,0.003
GOVERNMENTAL AGENCY CAPES,1,0.003
GOVERNMENTAL AGENCY FAPERGS,1,0.003
GOVERNMENTAL FUNDING OF CLINICAL RESEARCH WITHIN NATIONAL HEALTH SERVICES,1,0.003
GOVERNMENTAL RESEARCH GRANT EVO,1,0.003
GOVERNMENTAL VTR OF HOSPITAL DISTRICT OF SOUTHWESTERN FINLAND,1,0.003
GRACE J FIPPINGER FOUNDATION,1,0.003
GRADUATE ASSISTANCE IN AREAS OF NATIONAL NEED US DEPARTMENT OF EDUCATION,1,0.003
GRADUATE DISSERTATION AWARD,1,0.003
